old_path,content_type,title,current_url,destination,new_url,status,migration_notes
AUDIT_REPORT.md,Repo doc,,,(not published),,KEEP,Excluded from the built site
CLAUDE.md,Repo doc,,,(not published),,KEEP,Excluded from the built site
EDITORIALS_GUIDE.md,Guide,How to Add Problems & Solutions,/editorials-guide/,pages/,/editorials-guide/,MIGRATE,
LINK_CONVERSION_GUIDE.md,Repo doc,,,(not published),,KEEP,Excluded from the built site
README.md,Repo doc,,,(not published),,KEEP,Excluded from the built site
RELEASE_NOTES_v1.0.0.md,Repo doc,,,(not published),,KEEP,Excluded from the built site
RELEASE_v1.1.0.md,Repo doc,,,(not published),,KEEP,Excluded from the built site
RELEASE_v1.2.0.md,Repo doc,,,(not published),,KEEP,Excluded from the built site
SITE_MAINTENANCE_LOG.md,Repo doc,,,(not published),,KEEP,Excluded from the built site
_editorials/arrays/fizz-buzz.md,Editorial,Fizz Buzz Solution,/editorials/fizz-buzz/,editorials/,/editorials/fizz-buzz/,MIGRATE,
_editorials/linked-list/add-two-numbers.md,Editorial,Add Two Numbers Solution,/editorials/add-two-numbers/,editorials/,/editorials/add-two-numbers/,MIGRATE,
_editorials/linked-list/copy-list-with-random-pointer.md,Editorial,Copy List with Random Pointer,/editorials/copy-list-with-random-pointer/,editorials/,/editorials/copy-list-with-random-pointer/,MIGRATE,
_editorials/linked-list/find-the-duplicate-number.md,Editorial,Find the Duplicate Number,/editorials/find-the-duplicate-number/,editorials/,/editorials/find-the-duplicate-number/,MIGRATE,
_editorials/linked-list/linked-list-cycle.md,Editorial,Linked List Cycle Solution,/editorials/linked-list-cycle/,editorials/,/editorials/linked-list-cycle/,MIGRATE,
_editorials/linked-list/merge-k-sorted-lists.md,Editorial,Merge k Sorted Lists,/editorials/merge-k-sorted-lists/,editorials/,/editorials/merge-k-sorted-lists/,MIGRATE,
_editorials/linked-list/merge-two-sorted-lists.md,Editorial,Merge Two Sorted Lists Solution,/editorials/merge-two-sorted-lists/,editorials/,/editorials/merge-two-sorted-lists/,MIGRATE,
_editorials/linked-list/middle-of-the-linked-list.md,Editorial,Middle of the Linked List Solution,/editorials/middle-of-the-linked-list/,editorials/,/editorials/middle-of-the-linked-list/,MIGRATE,
_editorials/linked-list/remove-nth-node-from-end-of-list.md,Editorial,Remove Nth Node From End of List Solution,/editorials/remove-nth-node-from-end-of-list/,editorials/,/editorials/remove-nth-node-from-end-of-list/,MIGRATE,
_editorials/linked-list/reorder-list.md,Editorial,Reorder List,/editorials/reorder-list/,editorials/,/editorials/reorder-list/,MIGRATE,
_editorials/linked-list/reverse-linked-list.md,Editorial,Reverse Linked List Solution,/editorials/reverse-linked-list/,editorials/,/editorials/reverse-linked-list/,MIGRATE,
_editorials/linked-list/reverse-nodes-k-group.md,Editorial,Reverse Nodes in k-Group,/editorials/reverse-nodes-k-group/,editorials/,/editorials/reverse-nodes-k-group/,MIGRATE,
_editorials/strings/encode-and-decode-strings.md,Editorial,Encode and Decode Strings Solution,/editorials/encode-and-decode-strings/,editorials/,/editorials/encode-and-decode-strings/,MIGRATE,
_editorials/tree/balanced-binary-tree.md,Editorial,Balanced Binary Tree Solution,/editorials/balanced-binary-tree/,editorials/,/editorials/balanced-binary-tree/,MIGRATE,
_editorials/tree/binary-tree-level-order-traversal.md,Editorial,Binary Tree Level Order Traversal Solution,/editorials/balanced-binary-tree/,editorials/,/editorials/binary-tree-level-order-traversal/,FIX,Permalink collides with balanced-binary-tree — currently unreachable
_editorials/tree/binary-tree-right-side-view.md,Editorial,Binary Tree Right Side View Solution,/editorials/binary-tree-right-side-view/,editorials/,/editorials/binary-tree-right-side-view/,MIGRATE,problem_id 199 not in problems.yml — add the problem or drop the link
_editorials/tree/binary-tree-zigzag-level-order-traversal.md,Editorial,Binary Tree Zigzag Level Order Traversal Solution,/editorials/binary-tree-zigzag-level-order-traversal/,editorials/,/editorials/binary-tree-zigzag-level-order-traversal/,MIGRATE,
