type,index,text,start,end,duration,importance,confidence,sentence_index
word,0,Imagine,0.031,0.491,0.460,low,0.774,0
word,1,you're,0.531,0.672,0.141,low,0.853,0
word,2,moving,0.712,0.912,0.200,low,0.913,0
word,3,an,0.972,1.012,0.040,low,0.908,0
word,4,entire,1.052,1.492,0.440,low,0.807,0
word,5,library,1.552,1.993,0.441,low,0.731,0
word,6,every,2.033,2.593,0.560,low,0.731,0
word,7,time,2.654,2.834,0.180,low,0.992,0
word,8,someone,2.894,3.174,0.280,low,0.919,0
word,9,wants,3.214,3.374,0.160,low,0.841,0
word,10,to,3.414,3.474,0.060,low,1.000,0
word,11,read,3.514,3.674,0.160,low,0.789,0
word,12,a,3.755,3.775,0.020,low,1.000,0
word,13,single,3.835,4.155,0.320,low,0.754,0
word,14,book.,4.215,4.395,0.180,low,0.896,0
word,15,You,5.036,5.156,0.120,low,0.671,1
word,16,pack,5.176,5.396,0.220,low,0.896,1
word,17,all,5.596,5.696,0.100,low,0.874,1
word,18,the,5.736,5.817,0.081,low,0.826,1
word,19,books,5.857,5.997,0.140,low,0.850,1
word,20,into,6.057,6.297,0.240,low,0.602,1
word,21,a,6.317,6.337,0.020,low,0.134,1
word,22,"truck,",6.357,6.597,0.240,low,0.830,1
word,23,drive,6.858,7.098,0.240,low,0.803,1
word,24,them,7.138,7.258,0.120,low,0.970,1
word,25,to,7.298,7.378,0.080,low,0.754,1
word,26,a,7.458,7.478,0.020,low,0.988,1
word,27,new,7.538,7.678,0.140,low,0.877,1
word,28,"building,",7.718,8.039,0.321,low,0.722,1
word,29,unload,8.299,8.659,0.360,low,0.812,1
word,30,"them,",8.699,8.859,0.160,low,0.859,1
word,31,and,9.200,9.280,0.080,low,0.831,1
word,32,repeat,9.340,9.620,0.280,low,0.942,1
word,33,the,9.660,9.720,0.060,low,0.679,1
word,34,same,9.760,9.940,0.180,low,0.829,1
word,35,process,9.981,10.341,0.360,low,0.834,1
word,36,again,10.421,10.721,0.300,low,0.750,1
word,37,and,10.761,10.901,0.140,low,0.544,1
word,38,again.,10.961,11.202,0.241,low,0.943,1
word,39,Sounds,11.822,12.143,0.321,medium,0.721,2
word,40,ridiculously,12.163,12.863,0.700,low,0.790,2
word,41,"inefficient,",12.903,13.364,0.461,low,0.932,2
word,42,right?,13.384,13.604,0.220,medium,0.591,2
word,43,That's,14.645,14.825,0.180,low,0.796,3
word,44,exactly,14.905,15.386,0.481,low,0.890,3
word,45,what,15.426,15.586,0.160,low,0.949,3
word,46,traditional,15.646,16.066,0.420,low,0.901,3
word,47,packet,16.106,16.367,0.261,low,0.993,3
word,48,processing,16.387,16.787,0.400,low,0.854,3
word,49,does.,16.827,17.828,1.001,high,0.837,3
word,50,In,17.848,17.908,0.060,low,0.989,4
word,51,traditional,17.928,18.328,0.400,low,0.735,4
word,52,"networking,",18.369,18.849,0.480,low,0.887,4
word,53,when,18.989,19.109,0.120,low,0.911,4
word,54,a,19.169,19.189,0.020,low,0.999,4
word,55,packet,19.229,19.550,0.321,low,0.912,4
word,56,travels,19.590,19.910,0.320,low,0.838,4
word,57,from,19.950,20.090,0.140,low,0.940,4
word,58,the,20.110,20.190,0.080,low,0.740,4
word,59,hardware,20.250,20.631,0.381,low,0.924,4
word,60,through,20.831,21.071,0.240,low,0.813,4
word,61,the,21.091,21.171,0.080,low,0.511,4
word,62,operating,21.231,21.572,0.341,low,0.970,4
word,63,system,21.612,21.872,0.260,low,0.869,4
word,64,kernel,21.912,22.232,0.320,low,0.750,4
word,65,and,22.392,22.472,0.080,low,0.983,4
word,66,up,22.653,22.713,0.060,low,0.592,4
word,67,to,22.753,22.873,0.120,low,0.761,4
word,68,an,22.913,22.973,0.060,low,0.886,4
word,69,"application,",23.053,23.553,0.500,low,0.813,4
word,70,the,24.074,24.174,0.100,low,0.937,4
word,71,actual,24.274,24.574,0.300,low,0.873,4
word,72,bytes,24.655,24.975,0.320,low,0.865,4
word,73,are,25.175,25.275,0.100,low,0.736,4
word,74,copied,25.355,25.696,0.341,low,0.954,4
word,75,across,25.756,26.036,0.280,low,0.513,4
word,76,system,26.056,26.296,0.240,low,0.608,4
word,77,boundaries.,26.316,27.237,0.921,low,0.919,4
word,78,The,27.237,27.417,0.180,low,0.900,5
word,79,network,27.477,27.798,0.321,low,0.931,5
word,80,interface,27.838,28.239,0.401,low,0.814,5
word,81,"card,",28.259,28.539,0.280,low,0.847,5
word,82,or,28.680,28.760,0.080,low,0.820,5
word,83,"NIC,",28.880,29.301,0.421,high,0.785,5
word,84,receives,29.721,30.082,0.361,low,0.874,5
word,85,the,30.122,30.182,0.060,low,0.973,5
word,86,packet,30.222,30.543,0.321,low,0.997,5
word,87,into,30.603,30.803,0.200,low,0.907,5
word,88,one,30.823,31.044,0.221,low,0.892,5
word,89,buffer.,31.084,31.364,0.280,low,0.942,5
word,90,Then,31.865,32.026,0.161,low,0.854,6
word,91,those,32.086,32.286,0.200,low,0.867,6
word,92,bytes,32.346,32.587,0.241,low,0.933,6
word,93,are,32.667,32.747,0.080,low,0.831,6
word,94,copied,32.807,33.168,0.361,low,0.831,6
word,95,into,33.228,33.408,0.180,low,0.995,6
word,96,another,33.468,33.749,0.281,low,0.819,6
word,97,buffer,33.789,34.069,0.280,low,0.997,6
word,98,for,34.109,34.229,0.120,low,0.781,6
word,99,processing.,34.290,34.770,0.480,medium,0.866,6
word,100,They,35.552,35.672,0.120,medium,0.886,7
word,101,may,35.692,35.792,0.100,low,0.983,7
word,102,be,35.832,35.912,0.080,low,0.998,7
word,103,copied,35.953,36.273,0.320,low,0.855,7
word,104,again,36.333,36.574,0.241,low,0.917,7
word,105,before,36.614,36.894,0.280,low,0.888,7
word,106,transmission.,36.934,37.455,0.521,low,0.832,7
word,107,Every,38.096,38.417,0.321,medium,0.899,8
word,108,copy,38.477,38.778,0.301,low,0.826,8
word,109,consumes,38.838,39.198,0.360,low,0.821,8
word,110,CPU,39.238,39.599,0.361,medium,0.757,8
word,111,"cycles,",39.619,40.000,0.381,low,0.873,8
word,112,memory,40.260,40.561,0.301,low,0.898,8
word,113,"bandwidth,",40.601,41.182,0.581,low,0.671,8
word,114,and,41.202,41.302,0.100,low,0.805,8
word,115,cache.,41.362,42.424,1.062,medium,0.763,8
word,116,High,42.424,42.744,0.320,low,0.793,9
word,117,performance,42.784,43.185,0.401,low,0.840,9
word,118,networking,43.245,43.685,0.440,low,0.896,9
word,119,takes,43.725,43.926,0.201,low,0.902,9
word,120,a,43.986,44.026,0.040,low,0.829,9
word,121,completely,44.086,44.827,0.741,low,0.901,9
word,122,different,44.887,45.167,0.280,low,0.876,9
word,123,approach.,45.207,45.528,0.321,low,0.936,9
word,124,Instead,46.268,46.549,0.281,medium,0.499,10
word,125,of,46.589,46.629,0.040,low,1.000,10
word,126,copying,46.709,47.029,0.320,low,0.772,10
word,127,the,47.069,47.129,0.060,low,0.934,10
word,128,"packet,",47.169,47.710,0.541,low,0.926,10
word,129,it,47.730,47.790,0.060,low,0.996,10
word,130,simply,47.850,48.171,0.321,low,0.760,10
word,131,passes,48.251,48.551,0.300,low,0.875,10
word,132,a,48.631,48.651,0.020,low,0.846,10
word,133,reference,48.711,49.072,0.361,low,0.752,10
word,134,to,49.112,49.192,0.080,low,0.811,10
word,135,it.,49.272,49.332,0.060,low,0.998,10
word,136,This,49.772,49.933,0.161,low,0.838,11
word,137,technique,49.993,50.373,0.380,low,0.841,11
word,138,is,50.433,50.493,0.060,low,0.766,11
word,139,called,50.533,50.753,0.220,low,0.786,11
word,140,zero,50.854,51.134,0.280,low,0.876,11
word,141,copy.,51.174,51.474,0.300,low,0.977,11
word,142,But,51.935,52.075,0.140,low,0.997,12
word,143,what,52.255,52.415,0.160,low,0.784,12
word,144,exactly,52.475,52.896,0.421,low,0.868,12
word,145,is,52.936,52.996,0.060,low,0.814,12
word,146,being,53.036,53.196,0.160,low,0.813,12
word,147,passed?,53.256,53.597,0.341,low,0.904,12
word,148,The,54.117,54.217,0.100,low,0.711,13
word,149,answer,54.318,54.678,0.360,low,0.857,13
word,150,is,54.878,54.938,0.060,low,0.787,13
word,151,an,54.998,55.038,0.040,low,0.994,13
word,152,mBuff.,55.178,56.220,1.042,medium,0.990,13
word,153,Think,56.240,56.440,0.200,low,0.998,14
word,154,of,56.500,56.560,0.060,low,0.997,14
word,155,an,56.620,56.660,0.040,low,0.972,14
word,156,mBuff,56.780,57.061,0.281,low,0.971,14
word,157,as,57.181,57.241,0.060,low,0.588,14
word,158,a,57.281,57.341,0.060,low,0.332,14
word,159,small,57.421,57.741,0.320,low,0.942,14
word,160,metadata,57.821,58.322,0.501,low,0.808,14
word,161,structure,58.342,58.702,0.360,low,0.809,14
word,162,attached,58.743,59.103,0.360,low,0.838,14
word,163,to,59.123,59.163,0.040,low,0.866,14
word,164,the,59.223,59.283,0.060,low,1.000,14
word,165,packet.,59.323,59.624,0.301,low,0.981,14
word,166,It,60.284,60.364,0.080,low,0.648,15
word,167,contains,60.404,60.785,0.381,low,0.906,15
word,168,information,60.845,61.325,0.480,low,0.821,15
word,169,like,61.386,61.506,0.120,low,0.904,15
word,170,the,61.546,61.626,0.080,low,0.833,15
word,171,packet,61.666,61.966,0.300,low,0.937,15
word,172,"length,",62.006,62.267,0.261,low,0.914,15
word,173,protocol,62.447,62.887,0.440,low,0.907,15
word,174,"details,",62.927,63.288,0.361,low,0.916,15
word,175,and,63.688,63.788,0.100,low,0.982,15
word,176,most,63.888,64.129,0.241,low,0.753,15
word,177,"importantly,",64.209,64.749,0.540,low,0.945,15
word,178,the,64.970,65.090,0.120,low,0.730,15
word,179,exact,65.230,65.710,0.480,medium,0.873,15
word,180,memory,65.770,66.071,0.301,low,0.818,15
word,181,address,66.111,66.411,0.300,low,0.762,15
word,182,where,66.451,66.571,0.120,low,0.865,15
word,183,the,66.611,66.672,0.061,low,0.984,15
word,184,packet's,66.732,67.072,0.340,low,0.920,15
word,185,payload,67.112,67.432,0.320,low,0.702,15
word,186,begins.,67.472,67.773,0.301,low,0.904,15
word,187,Now,68.393,68.494,0.101,medium,0.990,16
word,188,let's,68.534,68.714,0.180,low,0.800,16
word,189,look,68.754,68.894,0.140,low,0.849,16
word,190,at,68.974,69.054,0.080,low,0.932,16
word,191,where,69.154,69.335,0.181,low,0.898,16
word,192,those,69.395,69.595,0.200,low,0.762,16
word,193,bytes,69.655,69.915,0.260,low,0.791,16
word,194,live.,69.975,70.656,0.681,low,0.934,16
word,195,Before,70.656,71.037,0.381,low,0.888,17
word,196,any,71.157,71.337,0.180,low,0.830,17
word,197,packet,71.377,71.658,0.281,low,0.995,17
word,198,even,71.718,71.878,0.160,low,0.865,17
word,199,"arrives,",71.938,72.319,0.381,low,0.960,17
word,200,DPDK,72.739,73.420,0.681,high,0.818,17
word,201,allocates,73.521,73.941,0.420,low,0.891,17
word,202,a,74.021,74.041,0.020,low,1.000,17
word,203,large,74.121,74.482,0.361,low,0.943,17
word,204,collection,74.522,74.923,0.401,low,0.802,17
word,205,of,74.963,75.023,0.060,low,0.752,17
word,206,fixed-size,75.123,75.684,0.561,low,0.728,17
word,207,packet,75.764,76.024,0.260,low,0.995,17
word,208,buffers.,76.064,76.405,0.341,low,0.889,17
word,209,This,77.146,77.306,0.160,low,0.714,18
word,210,collection,77.346,77.727,0.381,low,0.835,18
word,211,is,77.847,77.907,0.060,low,0.754,18
word,212,called,77.967,78.168,0.201,low,0.674,18
word,213,a,78.248,78.268,0.020,low,0.995,18
word,214,mempool.,78.328,78.829,0.501,medium,0.890,18
word,215,You,79.490,79.590,0.100,low,0.655,19
word,216,can,79.630,79.750,0.120,low,0.897,19
word,217,think,79.770,79.951,0.181,low,0.832,19
word,218,of,79.991,80.051,0.060,low,0.984,19
word,219,it,80.111,80.171,0.060,low,0.744,19
word,220,as,80.251,80.311,0.060,low,0.880,19
word,221,a,80.371,80.391,0.020,low,0.978,19
word,222,warehouse,80.431,80.872,0.441,low,0.899,19
word,223,filled,81.032,81.273,0.241,low,0.914,19
word,224,with,81.333,81.453,0.120,low,0.861,19
word,225,thousands,81.533,82.054,0.521,low,0.662,19
word,226,of,82.094,82.154,0.060,low,0.750,19
word,227,empty,82.194,82.515,0.321,low,0.757,19
word,228,packet,82.575,82.855,0.280,low,0.999,19
word,229,containers,82.895,83.376,0.481,low,0.892,19
word,230,all,83.716,83.857,0.141,low,0.847,19
word,231,ready,83.917,84.117,0.200,low,0.924,19
word,232,to,84.157,84.237,0.080,low,0.818,19
word,233,be,84.277,84.357,0.080,low,0.856,19
word,234,used.,84.478,85.219,0.741,low,0.780,19
word,235,When,85.239,85.379,0.140,low,0.925,20
